sample,donor,type,category_value,pH,osmolality,Enterococcaceae,Leuconostocaceae,Bifidobacteriaceae,Veillonellaceae,Lactobacillaceae,Lachnospiraceae,Peptostreptococcales-Tissierellales,Enterobacteriaceae,Coriobacteriaceae,Prevotellaceae,Bacteroidaceae,Ruminococcaceae,Clostridiaceae,Sutterellaceae,Bacillaceae,Eggerthellaceae,Tannerellaceae,Streptococcaceae,Oscillospiraceae,Rikenellaceae,Erysipelatoclostridiaceae,Leptospirillaceae,Anaerofustaceae,Akkermansiaceae,other
5.2,TL2,osmolality,~0460 mOsm/kg,NaN,451,0.071274539,0,0.114292088,0.017028554,0,0.326628495,7.43605E-05,0.098527662,0.101799524,0,0.181030637,0.005502677,0,0.03428019,0,0.001041047,0.00747323,0,0.00899762,0.017437537,0.0030116,0,0.001673111,0.000371802,0.009555324
TLR3-472,TL3,osmolality,~0460 mOsm/kg,NaN,472,0.452959224,0.000145033,0.013131031,0.043532102,0,0.157951693,0.031840241,0.104724717,0.003848943,0.000334691,0.080827802,0.002677526,0,0.029586657,0.000267753,0.000457411,0.021888771,0.005611647,0.023528756,0.005901713,0.007285101,0,0.000267753,0,0.013231439
TLR4-472,TL4,osmolality,~0460 mOsm/kg,NaN,472,0.259426382,0,0.06292496,0.013660527,0,0.227469403,0.004883175,0.060390654,0.012053406,0,0.1477933,0.022932377,0.025281246,0.068055384,0,0,0.026579305,0.001298059,0.025713933,0.012795154,0.016689331,0,0,0.000185437,0.011867969
TLR5-472,TL5,osmolality,~0460 mOsm/kg,NaN,472,0.638993831,9.56434E-05,0.01582899,0.039405098,0,0.068432882,0.012194539,0.095308689,0.001817225,0,0.047152217,0.007986227,0,0.008990483,0,0.000191287,0.016928889,0,0.010903352,0.021424131,0.005929893,0,0,0,0.008416623
TLR7-472,TL7,osmolality,~0460 mOsm/kg,NaN,472,0.347324871,0.11339171,0.0218509,0.030687661,0,0.221280527,0.035628213,0.019240039,0.001446015,0,0.077522494,0.013656812,0,0.05808162,0,0.000763175,0.019882712,0.001847686,0.008033419,0.006346401,0.011929627,0,0,0,0.011086118
TLR3-862,TL3,osmolality,~0880 mOsm/kg,NaN,862,0.571795799,0.001123446,0.000837824,0.016204277,0,0.052878116,0.159967249,0.100672163,7.61658E-05,0,0.062417884,0.000571244,0,0,0,0.00026658,0.022773578,0.007806996,0.001523316,0,3.80829E-05,0,0.000818782,0,0.000228497
TLR4-862,TL4,osmolality,~0880 mOsm/kg,NaN,862,0.265477881,0,0.000841618,0.026721372,0,0.106254274,0.252380201,0.165009731,0.004891905,0,0.04860344,0.000263006,0.104939246,0,0,0.00047341,0.020198832,0.000999421,0.000157803,0.000157803,0,0,0.001841039,0,0.000789017
TLR5-862,TL5,osmolality,~0880 mOsm/kg,NaN,862,0.735394041,0,0.002227792,0.00813144,0,0.063324979,0.085435812,0.047674742,0,0,0.027457533,0.000389864,0.000389864,0,0,0.001225285,0.023893066,0,0.001726539,0.000612643,0,0,0.001058201,0.00011139,0.000946811
TLR7-862,TL7,osmolality,~0880 mOsm/kg,NaN,862,0.536775212,0.132097466,0.001504099,0.012634429,0,0.09084756,0.096675942,0.041249906,0.000112807,0,0.048206362,0.001692111,0.00015041,0.011055125,0,0.000112807,0.017109122,0.003797849,0.000902459,0.000376025,0,0,0.000376025,0,0.004324284
6.2,TL2,osmolality,~0880 mOsm/kg,NaN,892,0.248994749,0,0.010596528,0.434386679,0.0004021,0.056672501,0.008042008,0.119660343,0.001135342,0,0.023889493,0.001703013,0,0.013482189,0.060267752,0.005440182,0.009957898,0,0,0,9.46119E-05,0,0.004281186,0.000473059,0.000520365
6.1,TL1,osmolality,~0880 mOsm/kg,NaN,892,0.060616091,0,0.082042456,0.445121144,0.000441326,0.160510173,0.002515557,0.104130809,0.000794386,0.02365506,0.022662077,0.00231696,0,0,0.042036277,0.018535681,0.005560704,0.024294982,0.000286862,6.61989E-05,0,0,0.003883667,0.000330994,0.000198597
7.1,TL1,osmolality,~1210 mOsm/kg,NaN,1180,0.44306468,0,0.012551407,0.002350051,0.001281846,0.026838648,0.053169898,0.202424825,0.010388292,0.189633072,0.008412113,0.014901458,0,0,0,0.001762538,0.011216151,0.004246114,0.001175025,0.000881269,0,0,0.010201357,0.002670512,0.002830743
7.2,TL2,osmolality,~1210 mOsm/kg,NaN,1180,0.847475226,0,0.002573305,0.005327194,0.003814812,0.00862283,0.023362904,0.053903975,0.00189612,0,0.0194578,0.012347351,0,0.007923072,0,0.000925487,0.000564321,0.000112864,0.001354371,0.000428884,0,0,0.005914088,0.00047403,0.003521365
7.2,TL2,osmolality,~1210 mOsm/kg,NaN,1180,0.762172836,0,0.00524848,0.005993314,0.003481665,0.012159845,0.046093087,0.076267517,0.004209177,0.000294469,0.041069789,0.014151842,0,0.008539606,0,0.00121252,0.001021981,0.000381078,0.001160555,0.000519651,0,0,0.009873378,0.004157212,0.001991997
TLR3-1247,TL3,osmolality,~1210 mOsm/kg,NaN,1247,0.838042485,0,0.000117852,0.001001738,0,0.004920303,0.134998969,0.017559883,0,0.000972275,0.000265166,0.001178516,0,0,0,0,0,8.83887E-05,0,0,0,0,0,0,0.000854424
TLR4-1247,TL4,osmolality,~1210 mOsm/kg,NaN,1247,0.533768619,0,0.000437229,0,0,0.00367272,0.255516367,0.202203632,0.000116594,0,0.00040808,0.001661469,0,0,0.001457429,0,0,0,0,0,0.000262337,0,0,0,0.000495526
TLR5-1247,TL5,osmolality,~1210 mOsm/kg,NaN,1247,0.838778108,0,0.000636402,0,0,0.001007637,0.113915995,0.044123886,0,0,0,0,0,0,0,0,0,0,0,0.000212134,0,0,0,0,0.001325838
TLR7-1247,TL7,osmolality,~1210 mOsm/kg,NaN,1247,0.760402353,0.083108888,0,0.000164899,0,0.001703952,0.113340296,0.036882317,0,0,0.000274831,0.002638377,0.00043973,0.000329797,0,0,0,0.000164899,0,0.000164899,0,0,0,0,0.000384763
8.1,TL1,osmolality,~1820 mOsm/kg,NaN,1808,0.697923644,0,0.003460594,0.00323733,0.001004689,0.022065937,0.009563147,0.06988167,0.003683858,0.167671355,0.001265163,0.011163206,0,0,0,0.000483739,0.000223264,0.002790802,0.000930267,0.000483739,0,0,0,0.001860534,0.002307063
8.2,TL2,osmolality,~1820 mOsm/kg,NaN,1808,0.728986911,0,0.002928653,0.000765956,0,0.010025006,0.009123882,0.213543896,0.002748429,0.001103877,0.011872311,0.011917367,0,0.000901124,0,0.000743427,0,0,0.000675843,0.000540674,0,0,0,0.001509383,0.00261326
TLR3-1824,TL3,osmolality,~1820 mOsm/kg,NaN,1824,0.862720716,0,0,0.000852666,0,0.004583082,0.117277152,0.012008385,0,0.000568444,0.000248694,0.001350055,0,0,0,0,0,0.000248694,0,0,0,0,0,0,0.000142111
TLR4-1824,TL4,osmolality,~1820 mOsm/kg,NaN,1824,0.731727108,0,0.000187254,0.000436927,0,0.005492791,0.181199675,0.076274889,0.000187254,0,0.000998689,0.001997378,0,0,0,0,0.000187254,0.000249672,0,0,0.000436927,0,0,0.000374508,0.000249672
TLR5-1824,TL5,osmolality,~1820 mOsm/kg,NaN,1824,0.915024279,0,0.000357041,7.14082E-05,0,0.001142531,0.055055698,0.026349614,0,0.000107112,0.00017852,0.000749786,0,0,0,0,0,0,0.000107112,7.14082E-05,0,0,0,0,0.00078549
TLR7-1824,TL7,osmolality,~1820 mOsm/kg,NaN,1824,0.830181226,0.068292924,0.000395042,0,0,0.001975211,0.065083206,0.029529406,0,0,0.000592563,0.003357859,0,0,0,0,0,0,9.87606E-05,0,0,0,0,0,0.000493803
