pH,osmolality,Rhodobacteraceae,unclassified Bacteria,Legionellaceae,unclassified Enterobacterales,Crocinitomicaceae,Pseudomonadaceae,Moraxellaceae,Chitinophagaceae,Comamonadaceae,Nostocaceae,Beijerinckiaceae,DTU014,NS9_marine_group,unclassified Clostridia,unclassified Oscillospirales,Rhizobiales_Incertae_Sedis,Acidimicrobiaceae,Clostridium_methylpentosum_group,Pasteurellaceae,Selenomonadaceae,unclassified Lactobacillales,Methanobacteriaceae,unclassified Archaea,Peptococcaceae,Actinomycetaceae,Clostridia_UCG-014,Eubacterium_coprostanoligenes_group,unclassified Firmicutes,Akkermansiaceae,Marinifilaceae,Ethanoligenenaceae,Christensenellaceae,Prevotellaceae,Monoglobaceae,Desulfovibrionaceae,Acidithiobacillaceae,Bacillaceae,Anaerofustaceae,Erysipelotrichaceae,Acidiferrobacteraceae,Anaerovoracaceae,Peptostreptococcaceae,Barnesiellaceae,Acidaminococcaceae,Streptococcaceae,Butyricicoccaceae,Leptospirillaceae,Erysipelatoclostridiaceae,Rikenellaceae,Ruminococcaceae,Eggerthellaceae,Oscillospiraceae,Tannerellaceae,Sutterellaceae,Veillonellaceae,Clostridiaceae,Lactobacillaceae,Bacteroidaceae,Coriobacteriaceae,Enterobacteriaceae,Lachnospiraceae,Peptostreptococcales-Tissierellales,Bifidobacteriaceae,Leuconostocaceae,Enterococcaceae,Muribaculaceae,Campylobacteraceae,Gastranaerophilales
7.3,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160524,0,0,0.000288943,0,0,6.42096E-05,0.012328239,0,0.000417362,0,0,0,0,0,0.000866829,0,0.004847823,0,0.000898934,0.000256838,0,0.00147682,0.003980994,0.01528188,0.001637344,0.012520868,0.032201104,0,0.287305766,0,0,0.109059972,0.142416849,0.090696032,0.215134198,0,0.056151278,0,0.012007191,0,0,0
7.3,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357696,0,0,0.000317952,0,0,0.00127181,0,0,0.003060292,0,0,0,0,0,0,0,0,0,0.001748738,0.019593816,0.002583363,0.011764238,0.009419339,0.035014507,0.012598863,0.221414093,0,0,0.16267239,0.088351019,0.096737014,0.2140217,0.002980804,0.002742339,0,0.113151306,0,0.00019872,0
NaN,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000408643,0,0,0,0,0,0,0.000153241,0,0,0.000204321,0.000255402,0,0,0.013689534,0,0.000255402,0,0,0.000153241,0,0,0.000204321,0,0.001583491,0,0.033866272,0.008121776,0,0.000408643,0.006129642,0.113500536,0.041170762,0.012310364,0.005720999,0.039944833,0.074321908,0.005567758,0,0.041272922,0.094805128,0.013280891,0.350104715,0,0.127496552,0,0.015068703,0,0,0
NaN,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000371802,0,0,0.000706425,0,0,0.000148721,0,0,0.001673111,0,0,0,0,0,0,0,0.008700178,0,0.0030116,0.017437537,0.005502677,0.001041047,0.00899762,0.00747323,0.03428019,0.017028554,0,0,0.181030637,0.101799524,0.098527662,0.326628495,7.43605E-05,0.114292088,0,0.071274539,0,0,0
NaN,892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110331,0,0,0,0,0,0,0,0,0,0.000330994,0,0,0,0.02365506,0,0,0,0.042036277,0.003883667,0,0,0,0,8.82651E-05,0,0.024294982,0,0,0,6.61989E-05,0.00231696,0.018535681,0.000286862,0.005560704,0,0.445121144,0,0.000441326,0.022662077,0.000794386,0.104130809,0.160510173,0.002515557,0.082042456,0,0.060616091,0,0,0
NaN,1247,0,0,0,0,0,0,0,0,8.83887E-05,0,0,0,0,0,0,0,0,0,0,0.000176777,0,0,0,0,0,0.000235703,0,0,0,0,0,0,0.000972275,0.000353555,0,0,0,0,0,0,0,0,0,0,8.83887E-05,0,0,0,0,0.001178516,0,0,0,0,0.001001738,0,0,0.000265166,0,0.017559883,0.004920303,0.134998969,0.000117852,0,0.838042485,0,0,0
NaN,1824,0,0,0,0,7.10555E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000568444,0,0,0,0,0,0,0,0,0,0,0,0.000248694,7.10555E-05,0,0,0,0.001350055,0,0,0,0,0.000852666,0,0,0.000248694,0,0.012008385,0.004583082,0.117277152,0,0,0.862720716,0,0,0
NaN,472,2.23127E-05,4.46254E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23127E-05,0,0,5.57818E-05,0,0,0,0,0,0.000100407,0.000211971,0.000100407,0.000334691,7.80945E-05,0.000446254,0,0.000267753,0.000267753,0.000546661,0,3.34691E-05,5.57818E-05,0.001282981,0.001383388,0.005611647,0.008846991,0,0.007285101,0.005901713,0.002677526,0.000457411,0.023528756,0.021888771,0.029586657,0.043532102,0,0,0.080827802,0.003848943,0.104724717,0.157951693,0.031840241,0.013131031,0.000145033,0.452959224,0,0,0
NaN,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013329,0,5.71244E-05,0,0,0,0,0,0,0,0,0,0,0,0.000818782,0,0,0,0,3.80829E-05,0,0.007806996,0,0,3.80829E-05,0,0.000571244,0.00026658,0.001523316,0.022773578,0,0.016204277,0,0,0.062417884,7.61658E-05,0.100672163,0.052878116,0.159967249,0.000837824,0.001123446,0.571795799,0,0,0
5.5,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115533,0,0,0,0,0,0,0,0,0,0,0,0,0.000750968,0.001039801,0,0,0,0,0,0,0,0.0001733,0,0,0.003119404,0,0.0001733,0,0,0.003350471,0.025417365,0,0.0001733,0,0.073941425,0,0,0.001964069,0.19444284,0,0.020391658,0,0.672289296,0,0.00265727,0,0,0
6.9,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000523047,0,0,0,0,0.000457666,0,0.001699902,0.000588428,0.000130762,0.017391304,0.003988231,0.000980713,0.000457666,0.01941811,0.017325924,0.006930369,0.013860739,0,0,0.081595293,0.002680615,0.055573717,0.110624387,0.10539392,0.004903563,0.001634521,0.553841125,0,0,0
