SampleID,Mouse,Intestinal.Site,Diet,Erysipelotrichaceae,Lachnospiraceae,Enterococcaceae,Akkermansiaceae,Muribaculaceae,Lactobacillaceae,Coriobacteriaceae,Bacteroidaceae,Peptostreptococcaceae,Ruminococcaceae,Enterobacteriaceae,Sutterellaceae,Streptococcaceae,Eggerthellaceae,Christensenellaceae,Bifidobacteriaceae,Clostridiaceae,Tannerellaceae,Leuconostocaceae,Atopobiaceae,Prevotellaceae,Monoglobaceae,Oscillospiraceae,Butyricicoccaceae,uncultured Rhodospirillales,Barnesiellaceae,Erysipelatoclostridiaceae
M7.Cecum,M7,Cecum,Guar Gum,0.001161706,0.666712524,0.006435243,0.090781248,0.041225295,0,0.046070834,0.092401522,0,0.000596139,0,0.008590514,0.00087128,0.004723254,0.00275141,0.002002415,0.000932422,0.021353999,0,0.005105394,0,0,0.000596139,0.000687853,0.000290427,0.00275141,0.000718424
M7.Colon,M7,Colon,Guar Gum,0.001002244,0.656774953,0.015774451,0.092511493,0.030568447,0,0.054382639,0.091966795,0,0.000566486,0,0.011046474,0.000784365,0.005686646,0.0019827,0.001830185,0.004924069,0.019216942,0,0.003355339,0,0,0.000283243,0.000980456,0.001002244,0.002309519,0.000392182
M7.Duodenum,M7,Duodenum,Guar Gum,0,0.683566434,0.009324009,0.117715618,0.072843823,0,0.072261072,0,0,0.001165501,0,0.006410256,0,0.012820513,0,0.005244755,0.001165501,0,0,0.015151515,0,0,0,0,0,0,0.002331002
M7.Ileum,M7,Ileum,Guar Gum,0.00097806,0.566697046,0.008068998,0.218863227,0.040678418,0,0.07277658,0.001022518,0,0.000377887,0,0.000800231,0.021428413,0.031520217,0.000622402,0.013070443,0.001578234,0.002489608,0,0.015626737,0,0,4.44573E-05,0.00048903,0,0.000133372,0.002534065
M7.Jejunum,M7,Jejunum,Guar Gum,0.000430952,0.439714614,0.004788355,0.241285194,0.049703122,0,0.215523846,0.001101322,0,0.000861904,0,0.002489944,0.007134649,0.016807125,0,0.002920896,0.000335185,0.001388623,0,0.013263743,0,0,0,0.000622486,0,0.000191534,0.001197089
M8.Cecum,M8,Cecum,Guar Gum,4.40567E-05,0.585822539,0.008018328,0.139593797,0.078244779,0,0.007731959,0.094457661,0,0.003017887,0.023526302,0.015794343,0.002379064,0.007643845,0,0.002907745,0.003590625,0.015221605,0,0.003216142,0,0,0.000726936,0.000616794,0.00068288,0.00202661,0.002092695
M8.Colon,M8,Colon,Guar Gum,0,0.524656112,0.007656372,0.142745912,0.061380742,0,0.016221126,0.140929146,0,0.002790034,0.03023618,0.019789774,0.000389307,0.008694524,0,0.001362575,0.005060991,0.023877498,0,0.001946535,0,0,0.000324423,0.001038152,0.001816766,0.002919803,0.001622113
M8.Duodenum,M8,Duodenum,Guar Gum,0,0.262504564,0.025556773,0.342095655,0.202081051,0,0.026469514,0.023001095,0,0.000547645,0.030120482,0.025556773,0.004016064,0.036692223,0.000365097,0.004746258,0.002008032,0.004016064,0,0.005476451,0,0,0,0.000730194,0,0.001277839,0.002738226
M8.Ileum,M8,Ileum,Guar Gum,0.002964845,0.293138501,0.078187209,0.254976705,0.097162219,0,0.022066921,0.015586616,0,0.00025413,0.084921643,0.007369759,0.042524354,0.04214316,0.000296485,0.029140195,0.004447268,0.005929691,0,0.014527742,0,0,0,0.00016942,0,0.000296485,0.003218975
M8.Jejunum,M8,Jejunum,Guar Gum,0.239291234,0.26258556,0.000441599,0.097317289,0.109130051,0.132093177,0,0.002815191,0.068502981,0.021196732,0,0.009991168,0,0.004029587,0.003422389,0.0001104,0.000717598,0.003367189,0.019706337,0.007010378,0,0.011978362,0.002318393,0.000883197,0,0,0.000662398
